customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,1,No,DSL,29.85,29.85,No
5575-GNVDE,Male,0,No,No,34,Yes,Fiber optic,56.95,1889.50,Yes
3668-QPYBK,Male,0,No,No,2,Yes,DSL,53.85,108.15,No
7795-CFOCW,Female,0,No,No,45,Yes,Fiber optic,42.30,1840.75,No
9237-HQITU,Female,0,Yes,Yes,2,Yes,DSL,70.70,151.65,Yes
9305-CDSKC,Male,0,No,No,8,Yes,Fiber optic,99.65,820.50,Yes
1452-KIOVK,Female,0,No,No,22,Yes,No,89.10,1949.40,No
6713-OKOMC,Male,0,Yes,No,10,Yes,Fiber optic,29.75,301.90,No
7890-BUIBC,Female,0,Yes,Yes,28,Yes,DSL,104.80,2920.00,Yes
2143-LOKIB,Male,0,No,No,5,Yes,DSL,56.20,280.90,No
