customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,MonthlyCharges,TotalCharges,Churn
2824-AAAAA,Male,0,No,No,50,Yes,No,109.84,5492.0,No
5506-HHHHH,Female,0,No,Yes,46,Yes,DSL,78.27,3600.42,No
4657-EEEEE,Male,0,No,Yes,3,Yes,No,32.41,97.23,No
2679-VVVVV,Male,0,No,Yes,6,Yes,DSL,32.14,192.84,No
9935-CCCCC,Male,0,Yes,No,34,Yes,Fiber optic,92.11,3131.74,Yes
7912-BBBBB,Female,0,Yes,No,47,Yes,DSL,38.38,1803.86,No
1488-CCCCC,Male,1,No,No,71,Yes,DSL,52.84,3751.64,No
4582-HHHHH,Male,0,Yes,No,44,Yes,DSL,68.72,3023.68,Yes
9279-TTTTT,Male,1,No,No,71,Yes,No,22.48,1596.08,No
1434-RRRRR,Female,0,Yes,No,18,Yes,No,44.88,807.84,No
4257-WWWWW,Male,0,No,No,62,Yes,No,60.79,3768.98,No
9928-NNNNN,Male,0,No,Yes,37,Yes,Fiber optic,47.96,1774.52,Yes
4611-OOOOO,Male,1,Yes,No,66,Yes,Fiber optic,33.64,2220.24,Yes
5557-ZZZZZ,Male,1,Yes,Yes,58,Yes,DSL,92.8,5382.4,No
1106-YYYYY,Female,0,No,Yes,68,Yes,Fiber optic,101.31,6889.08,No
3615-WWWWW,Male,0,No,No,12,Yes,DSL,45.75,549.0,No
7924-KKKKK,Female,0,Yes,No,46,Yes,DSL,97.44,4482.24,No
5552-EEEEE,Female,0,Yes,Yes,60,Yes,DSL,58.56,3513.6,No
4527-YYYYY,Female,1,No,Yes,30,Yes,Fiber optic,70.67,2120.1,No
6514-DDDDD,Male,0,Yes,No,21,No,No,105.6,2217.6,No
2519-MMMMM,Female,0,No,No,42,Yes,Fiber optic,95.0,3990.0,No
2584-LLLLL,Male,0,No,Yes,66,No,DSL,100.51,6633.66,No
6635-TTTTT,Female,1,No,No,53,No,DSL,33.68,1785.04,Yes
5333-ZZZZZ,Female,1,No,No,9,Yes,Fiber optic,26.97,242.73,No
1711-XXXXX,Female,0,Yes,No,41,Yes,DSL,109.34,4482.94,No
8527-RRRRR,Female,0,Yes,Yes,63,Yes,DSL,58.78,3703.14,No
3045-MMMMM,Female,0,Yes,Yes,20,Yes,Fiber optic,48.79,975.8,No
2291-RRRRR,Female,0,Yes,Yes,65,Yes,Fiber optic,92.47,6010.55,No
5803-UUUUU,Female,0,Yes,No,40,Yes,Fiber optic,103.64,4145.6,No
6925-SSSSS,Female,1,Yes,No,23,Yes,DSL,106.25,2443.75,No
4150-WWWWW,Male,0,Yes,Yes,34,No,DSL,51.6,1754.4,No
2139-BBBBB,Male,1,No,Yes,55,Yes,No,105.22,5787.1,No
4733-YYYYY,Female,1,Yes,Yes,29,Yes,No,24.09,698.61,No
5741-CCCCC,Female,0,Yes,No,56,Yes,Fiber optic,24.97,1398.32,No
4814-DDDDD,Female,0,No,Yes,46,Yes,No,82.35,3788.1,Yes
7227-IIIII,Male,1,Yes,Yes,34,Yes,DSL,26.31,894.54,No
8428-UUUUU,Female,1,Yes,No,18,Yes,No,52.46,944.28,Yes
6977-FFFFF,Male,0,No,No,7,Yes,DSL,87.28,610.96,No
7065-LLLLL,Male,0,Yes,No,25,Yes,Fiber optic,53.73,1343.25,Yes
4432-VVVVV,Male,0,Yes,Yes,70,No,Fiber optic,37.96,2657.2,No
5374-WWWWW,Male,1,Yes,No,29,Yes,DSL,48.14,1396.06,No
2169-TTTTT,Male,0,No,No,6,Yes,No,65.76,394.56,No
3803-RRRRR,Female,0,Yes,Yes,66,Yes,Fiber optic,67.54,4457.64,Yes
5010-FFFFF,Female,0,Yes,No,64,Yes,Fiber optic,98.3,6291.2,No
8573-MMMMM,Female,0,No,Yes,35,Yes,No,95.02,3325.7,No
5422-UUUUU,Female,0,Yes,Yes,24,No,No,65.68,1576.32,No
4598-VVVVV,Female,0,No,No,36,Yes,DSL,104.57,3764.52,No
6313-YYYYY,Male,0,No,No,0,Yes,No,31.42,0.0,Yes
1916-HHHHH,Female,0,Yes,No,14,Yes,No,45.54,637.56,No
1525-ZZZZZ,Female,0,No,No,36,Yes,No,102.8,3700.8,No
6168-MMMMM,Male,0,No,No,12,Yes,DSL,57.8,693.6,No
5386-CCCCC,Female,1,Yes,No,7,Yes,DSL,118.12,826.84,Yes
4456-SSSSS,Male,0,No,Yes,4,Yes,Fiber optic,66.63,266.52,No
6155-GGGGG,Female,0,No,Yes,59,Yes,DSL,99.19,5852.21,Yes
9179-MMMMM,Male,1,Yes,No,0,Yes,Fiber optic,60.23,0.0,No
8517-EEEEE,Female,0,Yes,Yes,35,Yes,No,62.5,2187.5,No
5339-EEEEE,Female,0,Yes,No,34,Yes,Fiber optic,58.29,1981.86,No
5040-XXXXX,Male,0,No,Yes,65,Yes,Fiber optic,91.91,5974.15,No
9830-IIIII,Male,0,Yes,Yes,62,Yes,No,74.75,4634.5,No
8019-SSSSS,Male,0,No,Yes,22,Yes,Fiber optic,114.38,2516.36,No
7543-LLLLL,Male,0,No,No,8,Yes,DSL,45.09,360.72,No
4593-EEEEE,Male,0,No,Yes,33,Yes,DSL,30.06,991.98,No
9348-PPPPP,Male,0,No,No,45,Yes,DSL,59.33,2669.85,No
2489-YYYYY,Male,0,No,Yes,3,Yes,DSL,81.67,245.01,Yes
1771-DDDDD,Male,0,No,Yes,29,Yes,Fiber optic,106.08,3076.32,No
3504-UUUUU,Female,0,No,Yes,71,Yes,Fiber optic,54.62,3878.02,No
3621-ZZZZZ,Female,0,Yes,Yes,2,No,No,85.38,170.76,Yes
7916-TTTTT,Male,0,Yes,Yes,13,Yes,Fiber optic,55.02,715.26,No
2040-MMMMM,Female,1,No,No,59,No,Fiber optic,81.72,4821.48,Yes
7252-TTTTT,Female,0,No,No,44,Yes,Fiber optic,108.48,4773.12,No
8668-QQQQQ,Female,0,Yes,Yes,33,Yes,No,43.14,1423.62,Yes
5119-RRRRR,Female,0,No,Yes,44,Yes,DSL,60.42,2658.48,Yes
1188-VVVVV,Male,0,Yes,Yes,60,Yes,Fiber optic,119.33,7159.8,Yes
2876-VVVVV,Female,0,Yes,Yes,15,No,No,106.86,1602.9,No
9797-YYYYY,Male,1,Yes,No,65,Yes,No,76.46,4969.9,No
5371-YYYYY,Female,1,No,Yes,39,Yes,No,71.66,2794.74,No
6573-DDDDD,Female,0,No,No,16,Yes,DSL,48.46,775.36,Yes
5808-NNNNN,Female,1,Yes,Yes,33,No,Fiber optic,71.72,2366.76,Yes
3591-OOOOO,Male,0,Yes,No,15,Yes,No,104.82,1572.3,No
1053-XXXXX,Female,0,Yes,Yes,59,Yes,DSL,88.52,5222.68,No
5315-QQQQQ,Male,0,Yes,Yes,65,Yes,No,49.0,3185.0,No
3927-QQQQQ,Female,1,Yes,No,65,Yes,No,40.15,2609.75,Yes
2743-UUUUU,Male,0,No,Yes,12,Yes,No,46.52,558.24,No
5889-UUUUU,Female,0,Yes,Yes,55,Yes,No,36.98,2033.9,No
9317-TTTTT,Male,0,No,Yes,30,Yes,No,29.56,886.8,Yes
4258-EEEEE,Male,0,Yes,No,33,Yes,DSL,61.91,2043.03,Yes
7126-YYYYY,Female,0,No,Yes,38,Yes,Fiber optic,31.33,1190.54,No
3646-RRRRR,Male,0,No,Yes,66,No,Fiber optic,37.19,2454.54,No
9689-AAAAA,Female,0,No,No,7,Yes,Fiber optic,74.73,523.11,No
6310-PPPPP,Female,0,No,No,54,Yes,Fiber optic,36.46,1968.84,No
1319-DDDDD,Female,0,No,No,26,Yes,DSL,26.39,686.14,No
6947-ZZZZZ,Female,0,No,Yes,52,Yes,DSL,51.74,2690.48,Yes
6038-HHHHH,Female,0,Yes,Yes,38,Yes,DSL,42.03,1597.14,No
1949-HHHHH,Female,0,No,Yes,64,Yes,No,71.53,4577.92,No
2290-CCCCC,Female,1,Yes,No,16,Yes,No,30.24,483.84,Yes
8962-CCCCC,Female,0,No,Yes,29,No,No,95.18,2760.22,No
9727-YYYYY,Female,0,No,Yes,52,Yes,Fiber optic,110.62,5752.24,Yes
3060-EEEEE,Female,0,Yes,No,12,No,No,94.34,1132.08,No
8787-RRRRR,Female,0,No,No,20,Yes,Fiber optic,73.28,1465.6,No
3705-IIIII,Male,0,Yes,No,18,Yes,No,106.07,1909.26,No
9645-TTTTT,Male,0,Yes,No,52,Yes,Fiber optic,89.49,4653.48,No
7932-GGGGG,Female,0,Yes,No,18,Yes,No,21.06,379.08,Yes
9835-YYYYY,Female,0,Yes,Yes,56,Yes,No,59.41,3326.96,No
4295-WWWWW,Female,0,No,No,24,Yes,DSL,105.1,2522.4,No
6107-MMMMM,Female,0,No,Yes,30,Yes,No,54.59,1637.7,No
7118-OOOOO,Female,0,Yes,Yes,54,Yes,No,23.52,1270.08,No
9479-OOOOO,Female,0,No,No,22,Yes,DSL,94.62,2081.64,No
2982-HHHHH,Female,0,No,No,31,Yes,Fiber optic,100.2,3106.2,Yes
4681-CCCCC,Female,0,Yes,No,61,Yes,DSL,36.06,2199.66,No
6539-AAAAA,Male,0,No,Yes,9,No,DSL,73.73,663.57,Yes
4770-SSSSS,Female,0,Yes,No,71,Yes,Fiber optic,39.2,2783.2,Yes
4608-AAAAA,Male,0,Yes,No,53,Yes,No,91.92,4871.76,No
2163-WWWWW,Female,0,No,No,51,Yes,Fiber optic,47.16,2405.16,No
1964-HHHHH,Female,0,No,No,19,Yes,No,51.62,980.78,Yes
2104-BBBBB,Male,1,No,No,31,Yes,No,104.5,3239.5,No
6413-CCCCC,Female,1,Yes,Yes,13,No,Fiber optic,67.63,879.19,Yes
9423-HHHHH,Male,0,Yes,Yes,49,Yes,DSL,86.98,4262.02,No
5562-VVVVV,Female,0,No,Yes,27,Yes,Fiber optic,60.24,1626.48,No
8953-GGGGG,Female,0,No,No,52,Yes,No,49.8,2589.6,No
9834-EEEEE,Male,0,No,No,23,Yes,Fiber optic,82.55,1898.65,Yes
8744-HHHHH,Female,0,No,No,21,Yes,Fiber optic,35.49,745.29,No
8749-ZZZZZ,Male,0,Yes,Yes,29,Yes,No,57.3,1661.7,No
7669-GGGGG,Female,0,No,No,62,Yes,DSL,40.9,2535.8,No
2545-DDDDD,Male,0,Yes,No,3,Yes,Fiber optic,89.58,268.74,No
8062-LLLLL,Male,0,Yes,No,58,Yes,No,114.42,6636.36,No
7939-NNNNN,Female,0,No,Yes,7,Yes,No,119.55,836.85,Yes
8651-XXXXX,Female,0,No,No,11,No,Fiber optic,65.03,715.33,No
1887-VVVVV,Male,0,No,Yes,30,Yes,DSL,45.25,1357.5,No
2612-BBBBB,Female,0,Yes,No,33,Yes,Fiber optic,64.28,2121.24,Yes
7596-XXXXX,Female,0,No,Yes,48,Yes,DSL,104.73,5027.04,No
6559-ZZZZZ,Female,0,No,Yes,56,Yes,DSL,40.6,2273.6,Yes
2790-HHHHH,Male,1,Yes,Yes,25,Yes,DSL,115.21,2880.25,No
4139-GGGGG,Male,0,No,No,17,Yes,DSL,54.19,921.23,No
9786-OOOOO,Male,0,Yes,No,37,Yes,Fiber optic,118.58,4387.46,No
3296-NNNNN,Male,0,No,Yes,49,Yes,No,103.86,5089.14,No
4006-IIIII,Male,0,Yes,Yes,7,Yes,No,100.86,706.02,No
8579-HHHHH,Male,0,No,No,40,Yes,No,51.79,2071.6,No
2235-OOOOO,Male,0,No,No,5,Yes,No,20.88,104.4,Yes
2604-BBBBB,Male,0,Yes,Yes,68,Yes,No,58.21,3958.28,No
9856-AAAAA,Male,0,Yes,No,43,Yes,No,50.18,2157.74,Yes
2528-YYYYY,Female,0,No,No,63,Yes,Fiber optic,23.74,1495.62,No
4872-FFFFF,Male,0,Yes,No,28,No,DSL,70.54,1975.12,No
7658-PPPPP,Female,0,Yes,No,27,Yes,No,60.3,1628.1,No
8886-GGGGG,Female,0,Yes,Yes,10,Yes,Fiber optic,83.46,834.6,No
7570-BBBBB,Female,0,Yes,No,64,Yes,No,82.12,5255.68,No
3697-MMMMM,Male,1,No,No,18,No,No,32.07,577.26,No
1035-MMMMM,Male,0,No,Yes,8,Yes,DSL,117.7,941.6,Yes
5345-ZZZZZ,Male,0,Yes,Yes,26,Yes,DSL,38.69,1005.94,No
8454-JJJJJ,Male,0,Yes,No,33,Yes,DSL,64.53,2129.49,Yes
7930-WWWWW,Female,0,Yes,No,43,Yes,No,68.81,2958.83,Yes
8973-EEEEE,Male,0,Yes,No,67,Yes,No,101.31,6787.77,No
4111-JJJJJ,Male,0,No,No,14,Yes,No,29.92,418.88,Yes
4566-BBBBB,Male,0,No,Yes,50,Yes,DSL,62.86,3143.0,Yes
9883-BBBBB,Male,0,Yes,Yes,12,Yes,Fiber optic,82.85,994.2,Yes
6138-BBBBB,Male,0,Yes,Yes,48,Yes,No,41.52,1992.96,Yes
1821-SSSSS,Female,0,Yes,No,69,Yes,No,82.75,5709.75,Yes
8811-QQQQQ,Male,0,No,No,55,Yes,No,112.37,6180.35,No
9701-FFFFF,Female,0,Yes,No,50,Yes,Fiber optic,119.75,5987.5,Yes
1931-QQQQQ,Male,0,No,No,36,No,No,23.25,837.0,No
2312-FFFFF,Female,0,Yes,Yes,16,Yes,Fiber optic,43.56,696.96,Yes
2122-TTTTT,Male,0,No,Yes,57,Yes,No,51.03,2908.71,No
2113-VVVVV,Male,1,Yes,No,28,Yes,Fiber optic,59.91,1677.48,Yes
4853-MMMMM,Female,0,No,Yes,32,Yes,No,44.23,1415.36,No
2964-SSSSS,Female,0,Yes,No,59,No,DSL,40.35,2380.65,No
5033-SSSSS,Female,0,Yes,No,54,Yes,DSL,115.46,6234.84,Yes
1651-TTTTT,Male,0,Yes,Yes,9,Yes,DSL,111.85,1006.65,No
2343-NNNNN,Female,0,No,No,46,Yes,DSL,24.7,1136.2,No
9565-KKKKK,Male,0,Yes,No,22,Yes,No,53.88,1185.36,Yes
5272-GGGGG,Male,0,No,Yes,20,Yes,DSL,60.51,1210.2,No
6147-HHHHH,Female,0,No,No,12,Yes,Fiber optic,43.9,526.8,No
5351-MMMMM,Female,0,Yes,No,32,Yes,DSL,82.89,2652.48,No
3144-VVVVV,Male,1,Yes,Yes,23,Yes,DSL,84.04,1932.92,No
5915-OOOOO,Male,0,Yes,No,10,Yes,DSL,105.05,1050.5,No
6180-YYYYY,Female,0,No,Yes,16,Yes,No,94.09,1505.44,No
2188-AAAAA,Female,0,Yes,No,67,Yes,DSL,74.26,4975.42,No
8508-TTTTT,Female,1,No,Yes,46,Yes,Fiber optic,85.36,3926.56,No
2638-CCCCC,Male,0,No,Yes,24,Yes,DSL,47.4,1137.6,Yes
9808-GGGGG,Male,0,Yes,Yes,20,Yes,DSL,79.31,1586.2,No
9288-IIIII,Male,1,Yes,No,11,No,DSL,68.92,758.12,Yes
3170-LLLLL,Male,1,Yes,Yes,36,Yes,Fiber optic,33.33,1199.88,Yes
2127-HHHHH,Male,0,Yes,Yes,41,Yes,DSL,44.25,1814.25,No
7054-JJJJJ,Male,0,Yes,Yes,16,Yes,Fiber optic,49.17,786.72,No
3584-OOOOO,Female,0,Yes,Yes,47,Yes,Fiber optic,112.43,5284.21,Yes
9900-WWWWW,Male,0,No,Yes,27,Yes,DSL,43.04,1162.08,No
5956-TTTTT,Male,1,No,No,40,Yes,Fiber optic,48.92,1956.8,No
9666-AAAAA,Male,0,No,No,46,Yes,No,56.94,2619.24,No
5905-VVVVV,Female,0,Yes,No,17,No,DSL,86.37,1468.29,No
2697-EEEEE,Male,0,No,No,70,Yes,DSL,31.82,2227.4,No
5333-DDDDD,Male,0,No,No,12,Yes,Fiber optic,115.39,1384.68,Yes
2753-XXXXX,Female,0,No,No,12,Yes,Fiber optic,106.56,1278.72,Yes
3546-IIIII,Male,0,No,No,30,Yes,DSL,77.72,2331.6,No
5616-TTTTT,Male,0,No,Yes,1,Yes,No,87.4,87.4,Yes
4450-WWWWW,Male,0,Yes,No,15,Yes,Fiber optic,21.67,325.05,No
6617-GGGGG,Male,0,Yes,Yes,8,No,Fiber optic,53.89,431.12,No
5325-QQQQQ,Male,0,No,Yes,37,Yes,No,99.57,3684.09,No
9004-IIIII,Female,0,No,No,53,Yes,No,27.75,1470.75,Yes
1832-CCCCC,Female,0,No,Yes,55,Yes,DSL,48.23,2652.65,No
7939-IIIII,Female,0,Yes,Yes,44,Yes,No,78.53,3455.32,No
1722-AAAAA,Male,0,Yes,Yes,33,Yes,DSL,45.64,1506.12,No
6464-YYYYY,Male,0,No,Yes,8,Yes,No,113.4,907.2,Yes
3143-UUUUU,Male,0,Yes,No,7,Yes,Fiber optic,33.11,231.77,No
5291-FFFFF,Female,0,Yes,No,6,Yes,DSL,99.74,598.44,No
8239-RRRRR,Male,0,No,No,35,Yes,DSL,70.79,2477.65,No
8007-RRRRR,Male,0,Yes,No,17,Yes,DSL,95.03,1615.51,No
1158-DDDDD,Female,0,Yes,No,2,Yes,No,51.07,102.14,Yes
2232-WWWWW,Male,1,No,No,27,Yes,Fiber optic,71.45,1929.15,Yes
3442-RRRRR,Female,0,Yes,No,69,Yes,DSL,105.68,7291.92,No
1590-LLLLL,Female,0,Yes,No,43,No,DSL,66.69,2867.67,No
